id,nome,empreendedor,uf,municipio,latitude,longitude,categoria_de_risco_-_cri,dano_potencial_associado_-_dpa,metodo_construtivo_da_back_up_dam
8526,Dique Intermediário,MINERACAO USIMINAS S.A.,MG,ITATIAIUÇU,-20.15983333333333,-44.44994444444444,Baixa,Baixa,Não se aplica a esse tipo de barragem
8527,Dique Leste I,MINERACAO USIMINAS S.A.,MG,MATEUS LEME,-20.12138888888889,-44.37122222222222,Média,Baixa,Não se aplica a esse tipo de barragem
8528,Dique Leste II,MINERACAO USIMINAS S.A.,MG,MATEUS LEME,-20.12022222222222,-44.37177777777778,Média,Baixa,Não se aplica a esse tipo de barragem
8529,Dique Leste III,MINERACAO USIMINAS S.A.,MG,MATEUS LEME,-20.116083333333336,-44.37125,Média,Baixa,Não se aplica a esse tipo de barragem
8530,Dique Mazano,MINERACAO USIMINAS S.A.,MG,ITATIAIUÇU,-20.14038888888889,-44.42247222222222,Baixa,Baixa,Não se aplica a esse tipo de barragem
8532,Dique da Mineira,MINERACAO USIMINAS S.A.,MG,ITATIAIUÇU,-20.15036111111111,-44.43583333333333,Média,Baixa,Não se aplica a esse tipo de barragem
8533,Dique BIV-3 - Dique Hércules,MINERACAO USIMINAS S.A.,MG,ITATIAIUÇU,-20.156055555555554,-44.44138888888889,Média,Baixa,Não se aplica a esse tipo de barragem
8308,Prata,VALE S.A.,MG,OURO PRETO,-20.41172222222222,-43.86527777777778,Baixa,Baixa,Não se aplica a esse tipo de barragem
8406,PDE Engano,VALE S.A.,MG,MARIANA,-20.338055555555556,-43.42461111111111,Baixa,Baixa,Não se aplica a esse tipo de barragem
8381,2,VALE S.A.,MG,BARÃO DE COCAIS,-19.973500277777777,-43.6037275,Média,Baixa,Não se aplica a esse tipo de barragem
8383,A - PDE Nordeste,VALE S.A.,MG,BARÃO DE COCAIS,-19.948728055555556,-43.58669972222223,Média,Baixa,Não se aplica a esse tipo de barragem
8385,C - PDE Nordeste,VALE S.A.,MG,BARÃO DE COCAIS,-19.938450833333334,-43.58381027777778,Média,Baixa,Não se aplica a esse tipo de barragem
8386,Fazendinha,VALE S.A.,MG,BARÃO DE COCAIS,-19.9717275,-43.60806222222222,Média,Baixa,Não se aplica a esse tipo de barragem
8817,Fazenda Santa Fé,TECH ROCK MINERACAO LTDA,SP,SOROCABA,-23.508972222222223,-47.39088888888889,Média,Baixa,Não se aplica a esse tipo de barragem
8435,1 Mina,VALE S.A.,PA,CANAÃ DOS CARAJÁS,-6.39938888888889,-50.340138888888895,Baixa,Baixa,Não se aplica a esse tipo de barragem
8619,1 Usina,VALE S.A.,PA,CANAÃ DOS CARAJÁS,-6.454916666666667,-50.228750000000005,Baixa,Baixa,Não se aplica a esse tipo de barragem
8620,3 Mina,VALE S.A.,PA,CANAÃ DOS CARAJÁS,-6.394416666666667,-50.31980555555556,Baixa,Baixa,Não se aplica a esse tipo de barragem
